model,task,tokens
sentence-transformers/all-MiniLM-L6-v2,LLMBIOSSES,7861
sentence-transformers/all-MiniLM-L6-v2,LLMSTSBenchmark,14009
sentence-transformers/all-MiniLM-L6-v2,LLMBiorxivClusteringP2PV2,338350
sentence-transformers/all-MiniLM-L6-v2,LLMMedrxivClusteringP2PV2,427866
sentence-transformers/all-MiniLM-L6-v2,LLMMedrxivClusteringS2SV2,26487
sentence-transformers/all-MiniLM-L6-v2,LLMToxicConversationsClassification,3478575
sentence-transformers/all-MiniLM-L6-v2,LLMPublicHealthQA,30881
sentence-transformers/all-MiniLM-L6-v2,BioMeSHClassification,821393
sentence-transformers/all-MiniLM-L6-v2,PubChemSynonymPC500,14819
sentence-transformers/all-MiniLM-L6-v2,R2MEDBiologyPooled,245575
sentence-transformers/all-MiniLM-L6-v2,GOPubMedRetrieval,108074
sentence-transformers/all-MiniLM-L6-v2,GOProteinPairCls,167835
BAAI/bge-small-en-v1.5,LLMBIOSSES,7861
BAAI/bge-small-en-v1.5,LLMSTSBenchmark,14009
BAAI/bge-small-en-v1.5,LLMBiorxivClusteringP2PV2,338350
BAAI/bge-small-en-v1.5,LLMMedrxivClusteringP2PV2,427866
BAAI/bge-small-en-v1.5,LLMMedrxivClusteringS2SV2,26487
BAAI/bge-small-en-v1.5,LLMToxicConversationsClassification,3478575
BAAI/bge-small-en-v1.5,LLMPublicHealthQA,30881
BAAI/bge-small-en-v1.5,BioMeSHClassification,821393
BAAI/bge-small-en-v1.5,PubChemSynonymPC500,14819
BAAI/bge-small-en-v1.5,R2MEDBiologyPooled,245575
BAAI/bge-small-en-v1.5,GOPubMedRetrieval,108074
BAAI/bge-small-en-v1.5,GOProteinPairCls,167835
BAAI/bge-base-en-v1.5,LLMBIOSSES,7861
BAAI/bge-base-en-v1.5,LLMSTSBenchmark,14009
BAAI/bge-base-en-v1.5,LLMBiorxivClusteringP2PV2,338350
BAAI/bge-base-en-v1.5,LLMMedrxivClusteringP2PV2,427866
BAAI/bge-base-en-v1.5,LLMMedrxivClusteringS2SV2,26487
BAAI/bge-base-en-v1.5,LLMToxicConversationsClassification,3478575
BAAI/bge-base-en-v1.5,LLMPublicHealthQA,30881
BAAI/bge-base-en-v1.5,BioMeSHClassification,821393
BAAI/bge-base-en-v1.5,PubChemSynonymPC500,14819
BAAI/bge-base-en-v1.5,R2MEDBiologyPooled,245575
BAAI/bge-base-en-v1.5,GOPubMedRetrieval,108074
BAAI/bge-base-en-v1.5,GOProteinPairCls,167835
BAAI/bge-large-en-v1.5,LLMBIOSSES,7861
BAAI/bge-large-en-v1.5,LLMSTSBenchmark,14009
BAAI/bge-large-en-v1.5,LLMBiorxivClusteringP2PV2,338350
BAAI/bge-large-en-v1.5,LLMMedrxivClusteringP2PV2,427866
BAAI/bge-large-en-v1.5,LLMMedrxivClusteringS2SV2,26487
BAAI/bge-large-en-v1.5,LLMToxicConversationsClassification,3478575
BAAI/bge-large-en-v1.5,LLMPublicHealthQA,30881
BAAI/bge-large-en-v1.5,BioMeSHClassification,821393
BAAI/bge-large-en-v1.5,PubChemSynonymPC500,14819
BAAI/bge-large-en-v1.5,R2MEDBiologyPooled,245575
BAAI/bge-large-en-v1.5,GOPubMedRetrieval,108074
BAAI/bge-large-en-v1.5,GOProteinPairCls,167835
intfloat/multilingual-e5-small,LLMBIOSSES,8667
intfloat/multilingual-e5-small,LLMSTSBenchmark,15430
intfloat/multilingual-e5-small,LLMBiorxivClusteringP2PV2,392350
intfloat/multilingual-e5-small,LLMMedrxivClusteringP2PV2,468870
intfloat/multilingual-e5-small,LLMMedrxivClusteringS2SV2,30483
intfloat/multilingual-e5-small,LLMToxicConversationsClassification,3769567
intfloat/multilingual-e5-small,LLMPublicHealthQA,33511
intfloat/multilingual-e5-small,BioMeSHClassification,899377
intfloat/multilingual-e5-small,PubChemSynonymPC500,13503
intfloat/multilingual-e5-small,R2MEDBiologyPooled,276114
intfloat/multilingual-e5-small,GOPubMedRetrieval,118418
intfloat/multilingual-e5-small,GOProteinPairCls,178762
Snowflake/snowflake-arctic-embed-l-v2.0,LLMBIOSSES,8667
Snowflake/snowflake-arctic-embed-l-v2.0,LLMSTSBenchmark,15430
Snowflake/snowflake-arctic-embed-l-v2.0,LLMBiorxivClusteringP2PV2,392350
Snowflake/snowflake-arctic-embed-l-v2.0,LLMMedrxivClusteringP2PV2,468870
Snowflake/snowflake-arctic-embed-l-v2.0,LLMMedrxivClusteringS2SV2,30483
Snowflake/snowflake-arctic-embed-l-v2.0,LLMToxicConversationsClassification,3769567
