model,model_type,task,category,score,source
Alibaba-NLP__gte-Qwen2-1.5B-instruct,embedding,LLMBIOSSES,STS,0.81438,paper
Alibaba-NLP__gte-Qwen2-1.5B-instruct,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.62088,paper
Alibaba-NLP__gte-Qwen2-1.5B-instruct,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.531826,paper
Alibaba-NLP__gte-Qwen2-1.5B-instruct,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.523067,paper
Alibaba-NLP__gte-Qwen2-1.5B-instruct,embedding,LLMPublicHealthQA,Retrieval,0.76,paper
Alibaba-NLP__gte-Qwen2-1.5B-instruct,embedding,LLMSTSBenchmark,STS,0.85603,paper
Alibaba-NLP__gte-Qwen2-1.5B-instruct,embedding,LLMToxicConversationsClassification,Classification,0.8492,paper
Alibaba-NLP__gte-Qwen2-7B-instruct,embedding,LLMBIOSSES,STS,0.830386,paper
Alibaba-NLP__gte-Qwen2-7B-instruct,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.666692,paper
Alibaba-NLP__gte-Qwen2-7B-instruct,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.570171,paper
Alibaba-NLP__gte-Qwen2-7B-instruct,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.540888,paper
Alibaba-NLP__gte-Qwen2-7B-instruct,embedding,LLMPublicHealthQA,Retrieval,0.77,paper
Alibaba-NLP__gte-Qwen2-7B-instruct,embedding,LLMSTSBenchmark,STS,0.862112,paper
Alibaba-NLP__gte-Qwen2-7B-instruct,embedding,LLMToxicConversationsClassification,Classification,0.882,paper
BAAI__bge-base-en-v1.5,embedding,BioMeSHClassification,Classification,0.65,ours
BAAI__bge-base-en-v1.5,embedding,GOProteinPairCls,PairClassification,0.815333,ours
BAAI__bge-base-en-v1.5,embedding,GOPubMedRetrieval,Retrieval,0.29024,ours
BAAI__bge-base-en-v1.5,embedding,LLMBIOSSES,STS,0.869375,ours
BAAI__bge-base-en-v1.5,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.538202,ours
BAAI__bge-base-en-v1.5,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.472674,ours
BAAI__bge-base-en-v1.5,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.461474,ours
BAAI__bge-base-en-v1.5,embedding,LLMPublicHealthQA,Retrieval,0.62,ours
BAAI__bge-base-en-v1.5,embedding,LLMSTSBenchmark,STS,0.884048,ours
BAAI__bge-base-en-v1.5,embedding,LLMToxicConversationsClassification,Classification,0.6608,ours
BAAI__bge-base-en-v1.5,embedding,PubChemSynonymPC500,PairClassification,0.592105,ours
BAAI__bge-base-en-v1.5,embedding,R2MEDBiologyPooled,Retrieval,0.20782,ours
BAAI__bge-large-en-v1.5,embedding,BioMeSHClassification,Classification,0.6408,ours
BAAI__bge-large-en-v1.5,embedding,GOProteinPairCls,PairClassification,0.797003,ours
BAAI__bge-large-en-v1.5,embedding,GOPubMedRetrieval,Retrieval,0.29246,ours
BAAI__bge-large-en-v1.5,embedding,LLMBIOSSES,STS,0.846495,ours
BAAI__bge-large-en-v1.5,embedding,LLMBiorxivClusteringP2PV2,Clustering,0.562528,ours
BAAI__bge-large-en-v1.5,embedding,LLMMedrxivClusteringP2PV2,Clustering,0.47057,ours
BAAI__bge-large-en-v1.5,embedding,LLMMedrxivClusteringS2SV2,Clustering,0.453858,ours
