model,suite,n_tasks,bio_score,ci_low,ci_high
Qwen__Qwen3-Embedding-4B,full,12,0.6452,0.5182,0.763
Qwen__Qwen3-Embedding-0.6B,full,12,0.6157,0.4908,0.7327
abhinand__MedEmbed-base-v0.1,full,12,0.5924,0.4726,0.705
BAAI__bge-large-en-v1.5,full,12,0.5902,0.4743,0.7005
abhinand__MedEmbed-large-v0.1,full,12,0.59,0.472,0.7025
BAAI__bge-base-en-v1.5,full,12,0.5885,0.4711,0.7017
abhinand__MedEmbed-small-v0.1,full,12,0.5875,0.4713,0.6961
sentence-transformers__all-MiniLM-L6-v2,full,12,0.5794,0.4704,0.6829
Snowflake__snowflake-arctic-embed-l-v2.0,full,12,0.5783,0.4675,0.6841
FremyCompany__BioLORD-2023,full,12,0.5733,0.4535,0.6879
BAAI__bge-small-en-v1.5,full,12,0.5721,0.4586,0.6792
deepseek__deepseek-v4-flash,full,12,0.5655,0.4344,0.6938
NeuML__pubmedbert-base-embeddings,full,12,0.5517,0.4373,0.6612
intfloat__multilingual-e5-small,full,12,0.5504,0.4258,0.6665
google__gemini-3.1-flash-lite-preview,full,12,0.538,0.3733,0.7026
ncbi__MedCPT,full,12,0.5156,0.3952,0.6299
google__gemini-3.1-pro-preview,lifted,7,0.7584,0.6332,0.8677
Qwen__Qwen3-Embedding-8B,lifted,7,0.7453,0.6363,0.8523
jinaai__jina-embeddings-v5-text-small,lifted,7,0.745,0.6216,0.8635
bflhc__Octen-Embedding-8B,lifted,7,0.7448,0.6276,0.8569
Qwen__Qwen3-Embedding-4B,lifted,7,0.7418,0.6291,0.8531
jinaai__jina-embeddings-v5-text-nano,lifted,7,0.7404,0.6154,0.8652
Salesforce__SFR-Embedding-2_R,lifted,7,0.7401,0.6474,0.8354
nvidia__llama-embed-nemotron-8b,lifted,7,0.7372,0.6194,0.8445
codefuse-ai__F2LLM-v2-1.7B,lifted,7,0.7332,0.6347,0.8246
Alibaba-NLP__gte-Qwen2-7B-instruct,lifted,7,0.7317,0.6329,0.8238
tencent__KaLM-Embedding-Gemma3-12B-2511,lifted,7,0.7276,0.616,0.8365
codefuse-ai__F2LLM-v2-14B,lifted,7,0.727,0.6204,0.8244
codefuse-ai__F2LLM-v2-8B,lifted,7,0.7267,0.621,0.825
codefuse-ai__F2LLM-v2-4B,lifted,7,0.7244,0.626,0.8173
google__embeddinggemma-300m,lifted,7,0.7165,0.609,0.8157
codefuse-ai__F2LLM-v2-0.6B,lifted,7,0.7136,0.6166,0.8083
Alibaba-NLP__gte-Qwen2-1.5B-instruct,lifted,7,0.7079,0.606,0.802
qwen3.6-35b-a3b,lifted,7,0.7065,0.5652,0.83
Qwen__Qwen3-Embedding-0.6B,lifted,7,0.7023,0.5933,0.8094
qwen3.6-27b,lifted,7,0.7004,0.5424,0.8277
Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.6984,0.595,0.8014
google__gemini-3-flash-preview,lifted,7,0.6872,0.5545,0.8341
intfloat__multilingual-e5-large-instruct,lifted,7,0.6782,0.574,0.7884
kimi-k2.6,lifted,7,0.6738,0.5315,0.814
abhinand__MedEmbed-small-v0.1,lifted,7,0.6551,0.5465,0.7661
abhinand__MedEmbed-base-v0.1,lifted,7,0.6511,0.5344,0.7689
abhinand__MedEmbed-large-v0.1,lifted,7,0.6495,0.5353,0.7685
BAAI__bge-large-en-v1.5,lifted,7,0.6468,0.5326,0.767
BAAI__bge-base-en-v1.5,lifted,7,0.6438,0.5284,0.7675
Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.632,0.5158,0.7498
BAAI__bge-m3,lifted,7,0.631,0.5007,0.7576
intfloat__multilingual-e5-large,lifted,7,0.6304,0.5094,0.7551
minimax-m2.7,lifted,7,0.6293,0.4694,0.7955
BAAI__bge-small-en-v1.5,lifted,7,0.6281,0.5193,0.7462
sentence-transformers__all-MiniLM-L6-v2,lifted,7,0.6274,0.5362,0.7291
FremyCompany__BioLORD-2023,lifted,7,0.6259,0.5082,0.7556
glm-4.7,lifted,7,0.6241,0.4428,0.7906
intfloat__multilingual-e5-small,lifted,7,0.6143,0.5026,0.7342
intfloat__multilingual-e5-base,lifted,7,0.6134,0.4938,0.7423
deepseek-r1,lifted,7,0.5911,0.4073,0.7635
deepseek__deepseek-v4-flash,lifted,7,0.5828,0.4062,0.7518
NeuML__pubmedbert-base-embeddings,lifted,7,0.5826,0.4956,0.6848
ncbi__MedCPT,lifted,7,0.539,0.4444,0.648
intfloat__e5-mistral-7b-instruct,lifted,7,0.5357,0.46,0.6223
google__gemini-3.1-flash-lite-preview,lifted,7,0.532,0.2959,0.7884
GritLM__GritLM-7B,lifted,7,0.4835,0.3678,0.5772
